"Ogura Yuki","1895-03-01"
"Hannah Wilke","1940-03-07"
"Mark Ryden","1963-01-20"
"Hélio Oiticica","1937-07-26"
"William Wegman","1943-12-02"
"Stuart Semple","1980-09-12"
"Nicolae Vermont","1866-10-10"
"Caniglia","1970-07-13"
"John Wycliffe Lowes Forster","1850-12-31"
"Kawabata Ryushi","1885-06-06"
"János Mattis-Teutsch","1884-01-13"
"Gerald Brom","1965-03-09"
"Yokoyama Taikan","1868-11-02"
"Arthello Beck","1941-07-17"
"Jon Schueler","1916-09-12"
"Jordi Pagans i Monsalvatje","1932-04-18"
"Einar Hákonarson","1945-01-14"
"Ivan Albright","1897-02-20"
"Arshile Gorky","1904-04-15"
"Calvin Maglinger","1924-12-05"
"Pierre Auguste Cot","1837-02-17"
"Constant Nieuwenhuys","1920-07-21"
"Simon Penny","1955-10-19"
"Jean Paul Lemieux","1904-11-18"
"Samuel Morse","1791-04-27"
"Ker-Xavier Roussel","1867-12-10"
"Carpoforo Tencalla","1623-09-10"
"Raoul Ubac","1910-08-31"
"Lois Mailou Jones","1905-11-03"
"Luis Eduardo Aute","1943-09-13"
"Otto Dix","1891-12-02"
"Ejler Bille","1910-03-10"
"Jørgen Nash","1920-03-16"
"Michael Andrews","1928-10-30"
"Jean Béraud","1849-01-12"
"Charles Leickert","1816-09-22"
"Martin Benka","1888-09-21"
"Waldo Peirce","1884-12-17"
"Francesco Saverio Mergalo","1746-06-06"
"Andreas Achenbach","1815-09-29"
"Philippe de Champaigne","1602-05-26"
"Hans Purrmann","1880-04-10"
"Jane Kelly","1956-05-07"
"Georgia O'Keeffe","1887-11-15"
"Esaias Boursse","1631-03-03"
"Neo Rauch","1960-04-18"
"Eva Gonzalès","1849-04-19"
"Carlo Cignani","1628-05-15"
"William Dickson","1860-08-03"
"Samuel Peploe","1871-01-27"
"Eugenio Granell","1912-11-28"
"Paul Kane","1810-09-03"
"Frederick Richard Lee","1798-06-10"
"Augustus John","1878-01-04"
"William Harnett","1848-08-10"
"Jean-Baptiste Camille Corot","1796-07-17"
"Beryl Cook","1926-09-10"
"August Malmström","1829-10-14"
"Gordon Walters","1919-09-24"
